autor_nombre_alejandria	id_alejandria	phonetic_code	normalized_name_alejandria	name_cdl	summary_cdl	image_url_cdl	id_cdl	normalized_name_cdl	tokens_cdl	key_ol	birth_date_ol	death_date_ol	name_ol	bio_ol	alternate_names_ol	picture_ol	normalized_name_ol	tokens_ol	priority_score
	{'9789463598651', '9789876125260', '9788417736675', '9789807831000', '9788475566849', '9780870707117', '9789806476622', '9788865275719', '9781407585024', '9789876120807', '980642039', '9789702212355', '9789801841104', '9789806476585', '9781472302458', '9788430309849', '9783833134593', '9789806476646', '8420600563', '253', '9788484703037', '9788492498024', '9786075274317', '9788492691807', '7798083703736', '9781474824507', '9781407585017', '9789584297327', '9788420666976', '224', '237', '9789806476714', '235', '9789876121217', '9781445448527', '9789876125413', '000296', '9801827047', '9781409546924', '9786074005813', '9789463594608', '240', '9786074005820', '9788466224161', '842069812', '9788496249127', '9788417127404', '9783836536196', '9789806476592', '9789879201473', '9788417127398', '9789806476608', '9781472324573', '000298', '9788446054429', '9788484455707', '8420600458', '9786074005806', '9789802765478', '9789806476639', '8449957176', '9781407584959', '230', '231', '9783833133367', 'PRBPRN'}									OL222507A	11 December 1918	3 August 2008	Александр Исаевич Солженицын	"Aleksandr Solzhenitsyn was a Russian novelist, dramatist, and historian. Through his writings he helped to make the world aware of the Gulag, the Soviet Union's forced labor camp system – particularly The Gulag Archipelago and One Day in the Life of Ivan Denisovich, two of his two best-known works. Solzhenitsyn was awarded the Nobel Prize in Literature in 1970. He was exiled from the Soviet Union in 1974 and returned to Russia in 1994. Solzhenitsyn was the father of Ignat Solzhenitsyn, a conductor and pianist. ([Source][1].)


  [1]: https://en.wikipedia.org/wiki/Aleksandr_Solzhenitsyn"	Aleksandr Isaevich Solzhenit͡s︡yn, Алекса́ндр Иса́евич Солжени́цын	/mnt/datadrive/OpenLibrary/author_images/OL222507A.jpg	  		3
WILLIAM TREVOR	{'9788478443550'}	TRFRLM	william trevor	William Trevor	William Trevor (1928-2016) fue artífice de una sólida obra literaria en la que se alternaron la novela y el relato de forma natural. Creció y se educó en la Irlanda rural antes de ingresar en el Trinity College, en Dublín. Trabajó como escultor hasta 1960 y más tarde se convirtió en un excepcional novelista y, según la opinión general, es el mejor escritor de relatos en lengua inglesa. Recibió numerosos galardones, entre ellos el Premio Whitbread por El viaje de Felicia y el prestigioso Premio David Cohen de la Literatura Británica en reconocimiento a toda su obra. Además de este volumen de relatos, Salamandra ha publicado en castellano dos novelas, La historia de Lucy Gault y Verano y amor.	/mnt/datadrive/CasaDelLibro/author_images/3997.webp	3997.0	william trevor	trevor william	OL223132A	1928		William Trevor		WILLIAM TREVOR	/mnt/datadrive/OpenLibrary/author_images/OL223132A.jpg	william trevor	trevor william	5
SPENCER JOHNSON	{'9788495787446', '9788479534455'}	JNSNSPNSR	spencer johnson	Spencer Johnson	El doctor Spencer Johnson es autor y coautor de numerosos bestsellers relacionados con la mejora de la calidad de vida, el diálogo,la educación y la superación personal. Entre sus obras destaca la archiconocida¿Quién se ha llevado mi queso?.	/mnt/datadrive/CasaDelLibro/author_images/24398.webp	24398.0	spencer johnson	johnson spencer	OL223174A	January 1, 1940	July 3, 2017	Spencer Johnson	Spencer Johnson is known for the ValueTales series of children's books, and for his 1998 motivational book Who Moved My Cheese?, among others. His books have been translated into twenty-six languages.	Spencer Md Johnson	/mnt/datadrive/OpenLibrary/author_images/OL223174A.jpg	spencer johnson	johnson spencer	6
ELENA PONIATOWSKA	{'9789684112070', '9789703706105', '9789684115934'}	ALNPNTSK	elena poniatowska	Elena Poniatowska	"Nació en París en 1932, pero con tan sólo nueve años se trasladó a México. Su carrera se inició en el ejercicio del periodismo. Por esta labor se le entregó en 1978 el Premio Nacional de Periodismo en México. Ha sido nombrada Doctor Honoris Causa por ocho universidades y galardonada con el Premio Nacional de Lingüística y Literatura en 2002. Entre sus novelas destacan: Lilus Kikus (1954), Hasta no verte Jesús mío (1969), Premio Mazatlán, La noche de Tlatelolco (1971), Premio Xavier Villaurrutia, Querido Diego, te abraza Quiela (1978), La Flor de Lis (1988), Tinísima (1992), Premio Mazatlán, La piel del cielo (2001), Premio Alfaguara, y El tren pasa primero (2007), Premio Rómulo Gallegos. También ha escrito cuentos, reunidos en De noche vienes (1979) y Tlapalería (2003), libros de entrevistas, ensayos y crónicas. Su obra ha sido traducida a más de una decena de idiomas y su trayectoria como periodista y escritora ha sido reconocida con múltiples premios nacionales e internacionales.
En 2013 se le concedió el Premio Cervantes.
Fotografía: ©Áurea H.Alanís"	/mnt/datadrive/CasaDelLibro/author_images/33925-1.webp	33925.0	elena poniatowska	elena poniatowska	OL224043A			Elena Poniatowska		Elena Poniatowska	/mnt/datadrive/OpenLibrary/author_images/OL224043A.jpg	elena poniatowska	elena poniatowska	5
		TKRP								OL2245434A			Rapi Diego		Rapi Diego	/mnt/datadrive/OpenLibrary/author_images/OL2245434A.jpg	rapi diego	diego rapi	1
STEWART WALTON	{'9788489396098'}	STRTLTN	stewart walton							OL224769A			Stewart Walton		Stewart Walton	/mnt/datadrive/OpenLibrary/author_images/OL224769A.jpg	stewart walton	stewart walton	2
SAMUEL SHEM	{'9788433969224'}	SMLXM	samuel shem	Samuel Shem	Samuel Shem es el seudónimo de Stephen J. Bergman, psiquiatra y director de la sección clínica en la facultad de Medicina de Harvard.Foto © Nubar Alexanian		16743.0	samuel shem	samuel shem	OL225606A			Samuel Shem		Stephen van Bergman	/mnt/datadrive/OpenLibrary/author_images/OL225606A.jpg	samuel shem	samuel shem	4
WILLA CATHER	{'9788484280132', '9788484280996'}	K0RL	willa cather	Willa Cather	Nació en 1876. Su primera novela,Alexander’s Bridge, se publicó en 1912. En 1913 publicóPioneros(ALBA, Nº L) a la que siguieronMi Ántonia(1918;ALBA Nº XXXV),One of Ours(1922), que mereció el premio Pulitzer,La muerte y el arzobispo(1927),Shadows on the Rock(1931). También es autora deUna dama extraviada(1923; ALBA Nº LX),Mi enemigo mortal(1926; ALBA Nº XXXII),Para mayores de cuarenta(1936; ALBA Nº LV) yLos libros de cuentos(ALBA Nº XXXI). Murió en 1947.	/mnt/datadrive/CasaDelLibro/author_images/WillaCather.webp	201.0	willa cather	cather willa	OL22583A	7 December 1873	24 April 1947	Willa Cather	"Willa Siebert Cather was an American author who grew up in Nebraska. She is best known for her depictions of frontier life on the Great Plains in novels such as O Pioneers!, My Ántonia, and The Song of the Lark.

Source and more information: http://en.wikipedia.org/wiki/Willa_Cather"	Willa Siebert Cather	/mnt/datadrive/OpenLibrary/author_images/OL22583A.jpg	willa cather	cather willa	6
DEREK HUMPHRY	{'9788472235007'}	TRKMFR	derek humphry							OL226218A	1930		Derek Humphry		Derek Humphry	/mnt/datadrive/OpenLibrary/author_images/OL226218A.jpg	derek humphry	derek humphry	2
HAROLD BRODKEY	{'9788433906519'}	PRTKRLT	harold brodkey	Harold Brodkey	Harold Bordkey (Staunton, 1930 - Nueva York, 1996) se crió en Missouri y se graduó en Harvard. Entre los años cincuenta y los noventa, sus relatos aparecieron en elNew Yorkery otras revistas. Obtuvo numerosos galardones, como el O'Henry en dos ocasiones, así como becas de la American Academy en Roma, del National Endowment for Arts y de la Guggenheim Foundation.Después de su celebrado debut conPrimer amor y otros pesares(1958) se convirtió en el genio oculta de la literatura norteamericana, trabajando desde entonces hasta su muerte en su novelaParty of Animals. Aunque aparentemente nunca terminó siendo publicada, reputados críticos que tuvieron acceso al manuscrito, como Denis Donaghue, Harold Bloom, Cynthia Ozick o Gordon Lish, quienes no dudaron a comparar a Brodkey con Proust, Whitman y Wordsworth.Foto © Jerry Bauer		57827.0	harold brodkey	brodkey harold	OL226266A			Harold Brodkey		Harold Brodkey	/mnt/datadrive/OpenLibrary/author_images/OL226266A.jpg	harold brodkey	brodkey harold	4
VIKRAM SETH	{'9788433967336', '9788433969125'}	S0FKRM	vikram seth	Vikram Seth	"Vikram Seth nació en Calcuta en 1952. Estudió política, economía y filosofía en Oxford, y en la Universidad de Stanford, Claifornia, trabajó en una tesis sobre la demografía de la China rural. Ha escrito libros de distinto géneros, todos ellos aclamados por la crítica: una novela en verso, The Golden Gate, varios volúmenes de poesía, entre los que se cuentan The Humble Administrator's Garden y All You Who Sleep Tonight, un libro de viajes, Desde el lago del cielo, y fábulas, Beasty Tales. Con su novela Un buen partido alcanzó un gran éxito internacional de lectores y críticas.

Foto © Amanda Lane"	/mnt/datadrive/CasaDelLibro/author_images/12632.webp	12632.0	vikram seth	seth vikram	OL22665A	20 June 1952		Vikram Seth		Vikram Seth	/mnt/datadrive/OpenLibrary/author_images/OL22665A.jpg	vikram seth	seth vikram	5
CATHLEEN SCHINE	{'9788483101377'}	K0LNXN	cathleen schine	Cathleen Schine			19431.0	cathleen schine	cathleen schine	OL226818A	1953		Cathleen Schine		Schine Cathleen	/mnt/datadrive/OpenLibrary/author_images/OL226818A.jpg	cathleen schine	cathleen schine	3
		PRNRTJNSN								OL226883A	1908	2001	Bernard Jensen		Bernard D. Jensen	/mnt/datadrive/OpenLibrary/author_images/OL226883A.jpg	bernard jensen	bernard jensen	1
JAY VAN ANDEL	{'9781607380658'}	ANTLJFN	jay van andel							OL227626A	1924	2004	Jay Van Andel		Jay Van Andel	/mnt/datadrive/OpenLibrary/author_images/OL227626A.jpg	jay van andel	andel jay van	2
JACQUES LACARRIERE	{'9788476518977'}	JKSLKRR	jacques lacarriere							OL2278044A	1925		Jacques Lacarriere		Jacques Lacarriere	/mnt/datadrive/OpenLibrary/author_images/OL2278044A.jpg	jacques lacarriere	jacques lacarriere	2
ISABEL ALLENDE	{'9789802935741', '9789583599798', '9788401380341', '9788401381638', '9582806494', '9789585579538', '9789588611778', '9788401375415', '9789802936359', '9788401012105', '9789802932269', '9789586395557', '9789588611785', '9789585457614'}	ALNTSPL	isabel allende	Isabel Allende	Isabel Allende nació en 1942, en Perú, pasó la primera infancia en Chile y vivió en varios lugares en su adolescencia y juventud. Después del golpe militar de 1973 en Chile se exilió en Venezuela y a partir de 1987 vive como inmigrante en California. Se define como «eterna extranjera». Inició su carrera literaria en el periodismo, en Chile y en Venezuela. En 1982 su primera novela,La casa de los espíritus, se convirtió en uno de los títulos míticos de la literatura latinoamericana. A ella le siguieron otros muchos, todos los cuales han sido éxitos internacionales. Su obra ha sido traducida a cuarenta idiomas y ha vendido más de setenta millones de ejemplares, siendo la escritora más vendida en lengua española. Ha recibido más de sesenta premios internacionales, entre ellos el Premio Nacional de Literatura de Chile en 2010, el Premio Hans Christian Andersen en Dinamarca, en 2012, por su trilogía «Memorias del Águila y del Jaguar» y la Medalla de la Libertad en los Estados Unidos, la más alta distinción civil, en 2014. En 2018, Isabel Allende se convirtió en la primera escritora en lengua española premiada con la medalla de honor del National Book Award, en los Estados Unidos por su gran aporte al mundo de las letras.	/mnt/datadrive/CasaDelLibro/author_images/4063-2023.webp	4063.0	isabel allende	allende isabel	OL228079A	2 August 1942		Isabel Allende	"Isabel Angélica Allende Llona (Lima, Perú; 2 de agosto de 1942)​ es una escritora chilena con nacionalidad estadounidense, de ascendencia hispano-portuguesa y nacida en Perú. Desde 2004 es miembro de la Academia Estadounidense de las Artes y las Letras. Obtuvo el Premio Nacional de Literatura de su país en 2010. La venta total de sus libros alcanza 73 millones de ejemplares y sus obras han sido traducidas a 42 idiomas. Es considerada como la escritora viva más leída del mundo de la lengua española.

Sobrina y ahijada del expresidente chileno Salvador Allende (1970 - 1973), comenzó su carrera literaria como periodista. Tras el la muerte de su tío en el golpe militar de Chile en 1973 y el derrocamiento del gobierno de coalición, Isabel Allende abandonó Chile y se refugió en Venezuela. Su primera novela, *La casa de los espíritus* (1985), que surgió directamente de su exilio, se convirtió en un éxito de ventas y crítica mundial. A menudo entreteje elementos de mito y realismo, o lo que se conoce como ""realismo mágico"". Sus novelas a veces se basan en su propia infancia y experiencias vitales.


----------


Isabel Allende was born on 2 August 2 1942 in Lima, Peru. The niece and goddaughter of Salvador Allende, the former president of Chile from 1970 to 1973, she started her writing career as a journalist. Several months after her uncle's assassination and the overthrow of Chile's coalition government in 1973, Allende left Chile and found refuge in Venezuela. Her first novel, The House of the Spirits (1985), which arose directly out of her exile, became a worldwide bestseller and critical success. She often weaves together elements of myth and realism, or what is known as ""magic realist."" Her novels are sometimes based on her own childhood and life experiences. Allende has been called ""the world's most widely read Spanish-language author."""	Isabel Allende Llona	/mnt/datadrive/OpenLibrary/author_images/OL228079A.jpg	isabel allende	allende isabel	6
THEODORE J. LOWI	{'9789681640996'}	JL0TR	theodore j. lowi							OL228283A			Theodore J. Lowi		Theodore J. Lowi	/mnt/datadrive/OpenLibrary/author_images/OL228283A.jpg	theodore j. lowi	j lowi theodore	2
JULIA BLACKBURN	{'9788432310157'}	PLKPRNJL	julia blackburn							OL229343A			Julia Blackburn		Julia Blackburn	/mnt/datadrive/OpenLibrary/author_images/OL229343A.jpg	julia blackburn	blackburn julia	2
ANDRE JARDIN	{'000160'}	ANTRJRTN	andre jardin							OL229844A	1912	1996	André Jardin	"André Jardin (1912 – 1996) was a French biographer and historian, best known for his studies of Alexis de Tocqueville and 19th century French history. His 1984 biography of Tocqueville, *Alexis de Tocqueville: 1805-1859* —translated into English as *Tocqueville: A Biography* in 1988 by Lydia Davis and Robert Hemenway— was acclaimed as the definitive account of the life and career of the author of *Democracy in America*. 

**Source**: [André Jardin](https://en.wikipedia.org/wiki/Andr%C3%A9_Jardin) on Wikipedia."	André Jardin	/mnt/datadrive/OpenLibrary/author_images/OL229844A.jpg	andre jardin	andre jardin	3
DON DELILLO	{'9788477651857'}	TLLTN	don delillo	Don DeLillo	"Nueva York, Estados Unidos, 1936. Don DeLillo nació y creció en Nueva York. Es autor de diecisiete novelas y tres obras de teatro, y ha ganado numerosos premios, como el National Book Award por Ruido de fondo (1985; Seix Barral, 2006), el International Fiction Prize por Libra (1988; Seix Barral, 2006), el PEN/Faulkner Award de Ficción por Mao II (1991; Seix Barral, 2008), la Medalla Howells por Submundo (1997; Seix Barral, 2009), el Jerusalem Prize y el PEN/Saul Bellow Award a toda su carrera y la Medalla del National Book Award por su contribución a las letras estadounidenses.
Fotografía: ©Joyce Ravid"	/mnt/datadrive/CasaDelLibro/author_images/82277-1.webp	82277.0	don delillo	delillo don	OL230288A	1936		Don DeLillo	Donald Richard DeLillo (Don DeLillo) is an American novelist, playwright and essayist, DeLillo's works centers on subjects as diverse as TV, nuclear war, sports,  language, performance art, the Cold War,  the digital age, politics, economics, and terrorism.	Don Delillo	/mnt/datadrive/OpenLibrary/author_images/OL230288A.jpg	don delillo	delillo don	6
JOHN KATZENBACH	{'9789585566194', '9789585566255', '9789585984844', '9789585993679', '9789585999633', '9789585121157'}	JNKTSNPK	john katzenbach							OL230857A			John Katzenbach		John Katzenbach	/mnt/datadrive/OpenLibrary/author_images/OL230857A.jpg	john katzenbach	john katzenbach	2
HENRI BOSCO	{'9789681647063'}	PSKNR	henri bosco							OL2309618A			Henri Bosco		Henri Bosco	/mnt/datadrive/OpenLibrary/author_images/OL2309618A.jpg	henri bosco	bosco henri	2
ANTONIO LOPEZ ORTEGA	{'9788419633460', '9789806437562', '9789802933228', '9789807786195', '9789804391019', '7591524005259'}	ANTNLPSRTK	antonio lopez ortega	Antonio López Ortega			65785.0	antonio lopez ortega	antonio lopez ortega	OL232469A	1957		Antonio López Ortega		Antonio López Ortega	/mnt/datadrive/OpenLibrary/author_images/OL232469A.jpg	antonio lopez ortega	antonio lopez ortega	3
JERRY STAHL	{'9788433974976'}	JRSTL	jerry stahl	Jerry Stahl	Jerry Stahl (Pittsburgh, Pensilvania, 1953), escritor y guionista, se licenció en Columbia y vivió en Creta, París y Londres. Luego se instaló en Nueva York y empezó a escribir.  Siempre medianoche (1995), su primer libro de memorias, tuvo un éxito extraordinario y fue llevado al cine, con guion del propio Stahl y Ben Stiller en el papel protagonista. Entre sus libros destacan las novelas Yo, Fatty (2004; Anagrama, 2008) y Perv: A Love Story (1999), y el libro de relatos Love Without (2007). Colabora con las revistas Esquire, LA Weekly y Playboy. Como guionista de cine y televisión, ha escrito episodios de series aclamadas como Luz de Luna, ALF, Twin Peaks o CSI y de películas como Dos policías rebeldes II.		134571.0	jerry stahl	jerry stahl	OL23255A			Jerry Stahl		JERRY STAHL	/mnt/datadrive/OpenLibrary/author_images/OL23255A.jpg	jerry stahl	jerry stahl	4
AMIT CHAUDHURI	{'9788476694411'}	AMTXTR	amit chaudhuri	AMIT CHAUDHURI			10248.0	amit chaudhuri	amit chaudhuri	OL233295A	1962		Amit Chaudhuri		Amit Chaudhuri	/mnt/datadrive/OpenLibrary/author_images/OL233295A.jpg	amit chaudhuri	amit chaudhuri	3
MARTYN BEDFORD	{'9788483101414'}	PTFRTMRTN	martyn bedford							OL233567A	1959		Martyn Bedford		Martyn Bedford	/mnt/datadrive/OpenLibrary/author_images/OL233567A.jpg	martyn bedford	bedford martyn	2
ENID BLYTON	{'9788426109583', '9788426108326', '9788426109781', '9788426109774', '9788426109804', '9788426155368', '9788426155214', '9788426155207', '9788426109798', '9788426109569', '9788426103628', '9788426110206', '9788426103642', '9788426103598', '9788426108647', '9788426109118', '9788426110442', '9788426108333', '9788426108340', '9788426155191', '9788426103604', '9788426110459', '9788426107749', '9788426103659'}	PLTNNT	enid blyton	Enid Blyton	Enid Blyton nació en el año 1897 en Dulwich, localidad al sur de Londres, Inglaterra. Sin duda es la autora de libros infantiles y juveniles mas leída del mundo entero. Cuando acabó el colegio estudió la carrera de magisterio. Desde pequeña, Enid Blyton quiso ser escritora y empezó a escribir muy pronto, pero tuvieron que pasar muchos años antes de que pudiera publicar su primer libro. Escribió unas setecientas obras llenas de acción y suspense entre los años 1915 y 1968, año en el que murió. Sólo en los diez últimos años se vendieron en el mundo más de cien millones de ejemplares de sus libros.	/mnt/datadrive/CasaDelLibro/author_images/enid_blyton.webp	20587.0	enid blyton	blyton enid	OL233814A	11 August 1897	28 November 1968	Enid Blyton	"Enid Mary Blyton was a British children's writer known as both Enid Blyton and Mary Pollock. She was one of the most successful children's storytellers of the twentieth century.<sup>[1][1]</sup>


  [1]: http://en.wikipedia.org/wiki/Enid_Blyton"	Pollock, Mary	/mnt/datadrive/OpenLibrary/author_images/OL233814A.jpg	enid blyton	blyton enid	6
BUCKLEY CHRISTOPHER	{'9789685679084'}	PKLXRSTFR	buckley christopher	CHRISTOPHER BUCKLEY			32566.0	christopher buckley	buckley christopher	OL233861A	December 24, 1952		Christopher Buckley	An American political satirist and author.	Buckley, Christopher	/mnt/datadrive/OpenLibrary/author_images/OL233861A.jpg	christopher buckley	buckley christopher	4
W W RAND	{'9780899227269'}	RNT	w w rand							OL2350053A	1816	1909,	W. W. Rand		W. W. Rand	/mnt/datadrive/OpenLibrary/author_images/OL2350053A.jpg	w. w. rand	rand w w	2
RICHARD BACH	{'9788466654395'}	PKRXRT	richard bach	Richard Bach	"""Richard Bach es escritor y aviador, expiloto de las Fuerzas Aéreas de Estados Unidos. El mensaje de libertad y autosuperación de 'Juan Salvador Gaviota', su obra más célebre, ha conquistado a varias generaciones de lectores y lleva vendidos más de treinta millones de ejemplares."""		15719.0	richard bach	bach richard	OL23561A	23 June 1936		Richard Bach	"Richard David Bach is an American writer. He has written numerous works of fiction and also non-fiction flight-related titles. His works include *Jonathan Livingston Seagull* (1970) and *Illusions: The Adventures of a Reluctant Messiah* (1977), both of which were among the 1970's biggest sellers.

Most of Bach's books have been semi-autobiographical, using actual or fictionalized events from his life to illustrate his philosophy. His books espouse his philosophy that our apparent physical limits and mortality are merely appearance. Bach is noted for his love of aviation and for his books related to flying in a metaphorical context.

Source: [Wikipedia](https://en.wikipedia.org/wiki/Richard_Bach)"	Richard Bach	/mnt/datadrive/OpenLibrary/author_images/OL23561A.jpg	richard bach	bach richard	5
MAYRA MONTERO	{'9788483107256'}	MRMNTR	mayra montero	Mayra Montero	Mayra Montero nació en La Habana en 1952 y vive actualmente en Puerto Rico. Después de trabajar diez años como periodista, primero como corresponsal en distintos países de Centroamérica y más tarde como editorialista, se dedicó a escribir. Tras un libro de cuentos, Veintitrés y una tortuga, publicó en España su primera novela, La trenza de la hermosa luna (1987). En 1991 quedó finalista del XIII Premio La Sonrisa Vertical con su segunda novela, La última noche que pasé contigo (La Sonrisa Vertical 72 y Fábula 155), a la que siguieron Del rojo de su sombra (Andanzas 174), Tú, la oscuridad (Andanzas 243), que supuso su consagración internacional tras ser editada en Estados Unidos con inusitado éxito de crítica para un libro traducido, y Como un mensajero tuyo (Andanzas 331). En 2000 decidió regresar temporalmente al género erótico con Púrpura profundo (La Sonrisa Vertical 112), novela que ganó el XXII Premio La Sonrisa Vertical. Toda su obra está siendo traducida en Italia, Francia, Alemania, Gran Bretaña y Estados Unidos, entre otros países.		15831.0	mayra montero	mayra montero	OL236309A	1952		Mayra Montero		Mayra Montero	/mnt/datadrive/OpenLibrary/author_images/OL236309A.jpg	mayra montero	mayra montero	4
ROBERT GREENE	{'9786075276915', '9786075278162', '9786075277905', '9786075576442', '9786074001594', '9786075278377', '9786075279794', '9786075277851'}	KRNRPRT	robert greene							OL236414A	14 May 1959		Robert Greene	"Robert Greene (born May 14, 1959) is an American author known for his books on strategy, power, and seduction. He has written six international bestsellers: *The 48 Laws of Power*, *The Art of Seduction*, *The 33 Strategies of War*, *The 50th Law* (with rapper 50 Cent), *Mastery*, and *The Laws of Human Nature*.

**Source**: <a href=""https://en.wikipedia.org/wiki/Robert_Greene_(American_author)"" target=""blanck"">Robert Greene</a> on Wikipedia"	Robert Greens	/mnt/datadrive/OpenLibrary/author_images/OL236414A.jpg	robert greene	greene robert	3
JULIAN BARNES	{'9788433969453', '9788433975263'}	PRNSJLN	julian barnes	Julian Barnes	"Julian Barnes (Leicester, 1946) se educó en Londres y en Oxford. Está considerado una de las mayores re­velaciones de la narrativa inglesa de las últimas déca­das. En Anagrama se han publicado sus novelas Me­trolandia (Premio Somerset Maugham 1981), Antes de conocernos, El loro de Flaubert (Premio Geoffrey Faber Memorial y, en Francia, Premio Médicis), Miran­do al sol, Una historia del mundo en diez capítulos y medio, Hablando del asunto (Premio Femina a la mejor novela extranjera publicada en Francia), El puercoes­pín, Inglaterra, Inglaterra, Amor, etcétera, Arthur & George, El sentido de un final (Premio Booker), Niveles de vida y El ruido del tiempo, los libros de re­latos Al otro lado del Canal, La mesa limón y Pulso, el delicioso tomito El perfeccionista en la cocina y el libro memorialístico Nada que temer. Ha recibido tam­bién, entre otros galardones, el Premio E. M. Forster de la American Academy of Arts and Letters, el William Shakespeare de la Fundación FvS de Hamburgo y el Man Booker, y es Chevalier de l’Ordre des Arts et des Lettres.

Fotografía © Urszula Soltys"	/mnt/datadrive/CasaDelLibro/author_images/2013-1.webp	2013.0	julian barnes	barnes julian	OL238796A	19 January 1946		Julian Barnes	Julian Patrick Barnes is an English writer. Barnes won the Man Booker Prize for his book The Sense of an Ending (2011). He has also written crime fiction under the pseudonym Dan Kavanagh. In addition to novels, Barnes has published collections of essays and short stories. - Wikipedia	Julian Barnes	/mnt/datadrive/OpenLibrary/author_images/OL238796A.jpg	julian barnes	barnes julian	6
MEG WOLITZER	{'9788420644356'}	MKLTSR	meg wolitzer	Meg Wolitzer			33600.0	meg wolitzer	meg wolitzer	OL239191A	1959-05-28		Meg Wolitzer		Meg Wolitzer	/mnt/datadrive/OpenLibrary/author_images/OL239191A.jpg	meg wolitzer	meg wolitzer	3
J.K. ROWLING	{'9788418173028', '9788498389777', '9789585234055', '9788418174087', '9788418173110', '9788418173158', '9788498388916', '9788418173004', '9788498388930', '9788418637964', '9788498388879', '9788418637018', '9789585234048', '9788498389715', '9788418174384', '9788418173141', '9789585234086', '9789585277304', '9788418174117', '9788418637957', '9788498389739', '9786287507555', '9788418174070', '9788418173127', '9788418174612', '000302', '9788418797033', '9788498389753', '9789585234062', '9788498388893', '9788418174094', '9788418174377', '9788418797026', '9788498381429', '9788418174100'}	JKRLNK	j.k. rowling	J.K. Rowling	J K (Joanne Kathleen) Rowling  es autora de los siete libros de la famosa saga de Harry Potter. Amada por lectores de todo el mundo, la serie ha vendido más de 500 millones de ejemplares, se ha traducido a ochenta idiomas y ha inspirado ocho películas de enorme éxito de taquilla. Ha escrito asimismo tres volúmenes complementarios con fines benéficos:Quidditch a través de los tiempos,Animales fantásticos y dónde encontrarlos(en beneficio de Comic Relief y Lumos), yLos cuentos de Beedle el Bardo(en beneficio de Lumos), así como el guión inspirado enAnimales fantásticos y dónde encontrarlos, la primera de una serie de cinco películas que escribirá la autora. También colaboró en una obra,Harry Potter y el legado maldito, Partes Uno y Dos, que se estrenó en el West End de Londres en el verano de 2016. En 2012 creó la plataforma digital Pottermore, donde sus fans pueden disfrutar de noticias, reportajes y artículos, así como de contenido original escrito por J. K. Rowling. Asimismo, ha escrito la novela para adultosUna vacante imprevista, y, con el seudónimo Robert Galbraith, la serie de novelas policíacas protagonizadas por Cormoran Strike. Ha sido galardonada con numerosos premios, entre ellos la Orden del Imperio Británico por su contribución a la literatura infantil y la Orden de los Compañeros de Honor, la Orden de la Legión de Honor de Francia y el Premio Hans Christian Andersen.	/mnt/datadrive/CasaDelLibro/author_images/jkrowling.webp	136165.0	j.k. rowling	j k rowling	OL23919A	31 July 1965		J. K. Rowling	"Joanne ""Jo"" Murray, OBE (née Rowling), better known under the pen name J. K. Rowling, is a British author best known as the creator of the Harry Potter fantasy series, the idea for which was conceived whilst on a train trip from Manchester to London in 1990. The Potter books have gained worldwide attention, won multiple awards, sold more than 400 million copies, and been the basis for a popular series of films."	Joanne Rowling	/mnt/datadrive/OpenLibrary/author_images/OL23919A.jpg	j. k. rowling	j k rowling	6
GEORGE STEINER	{'9788489691148'}	JRJSTNR	george steiner							OL23936A	23 April 1929	3 February 2020	George Steiner	American writer	Francis George Steiner	/mnt/datadrive/OpenLibrary/author_images/OL23936A.jpg	george steiner	george steiner	3
TRUMAN CAPOTE	{'9788433914361', '9788433914354', '9788433967435', '9788433920171', '9788433972996', '9788433967480', '9788433977250'}	KPTTRMN	truman capote	Truman Capote	"Truman Capote (1924-1984) es uno de los mejores escritores norteamericanos del siglo XX. Anagrama le ha dedicado una Biblioteca Truman Capote: Otras voces, otros ámbitos, Un árbol de noche, Desayuno en Tiffany’s, A sangre fría, Música para camaleones, Plegarias atendidas, El arpa de hierba, Retratos, Tres cuentos, Los perros ladran, Cuentos completos y Crucero de verano.
Foto © Nacy Crampton"	/mnt/datadrive/CasaDelLibro/author_images/20077.webp	20077.0	truman capote	capote truman	OL239800A	30 September 1924	25 August 1984	Truman Capote	"**Truman Capote** was an American writer, many of whose short stories, novels, plays, and nonfiction are recognized literary classics, including the novella *Breakfast at Tiffany's* (1958) and *In Cold Blood* (1965), which he labeled a ""nonfiction novel""."	Truman Capote	/mnt/datadrive/OpenLibrary/author_images/OL239800A.jpg	truman capote	capote truman	6
JHUMPA LAHIRI	{'9788498384642'}	JMPLHR	jhumpa lahiri	Jhumpa Lahiri			14243.0	jhumpa lahiri	jhumpa lahiri	OL240991A	1967		Jhumpa Lahiri		jhumpa lahiri	/mnt/datadrive/OpenLibrary/author_images/OL240991A.jpg	jhumpa lahiri	jhumpa lahiri	3
WILLIAM ALEXANDER	{'9788494258251', '9786077356905'}	ALKSNTRLM	william alexander	William Alexander			9971.0	william alexander	alexander william	OL2410629A			Alexander, William		Alexander, William	/mnt/datadrive/OpenLibrary/author_images/OL2410629A.jpg	alexander, william	alexander william	3
ELLEN STOLL WALSH	{'9789681644956'}	ALNSTLLX	ellen stoll walsh	ELLEN STOLL WALSH			20104060.0	ellen stoll walsh	ellen stoll walsh	OL241101A			Ellen Stoll Walsh		Ellen Stoll Walsh	/mnt/datadrive/OpenLibrary/author_images/OL241101A.jpg	ellen stoll walsh	ellen stoll walsh	3
